Name:C02




--------
Date, Time, Latitude, Longitude, Altitude, Satellites, HDOP, PDOP, Temperature [C], Speed [km/h], TTFF, SNR AVG, SNR MAX
05/28/2022, 19:06:50, 48.9027833, 9.2034167, 272, 6, 1.5, 1.8, 15, 0, 49, 38, 45
05/28/2022, 19:07:44, 48.902815, 9.2027517, 392, 6, 1.5, 1.8, 15, 0, 22, 36, 44
05/28/2022, 19:08:36, 48.9027683, 9.203165, 302, 6, 1.5, 1.8, 15, 0, 20, 37, 43
05/28/2022, 19:09:31, 48.9028083, 9.20315, 312, 6, 2.5, 6.7, 15, 0, 23, 35, 44
06/20/2022, 07:55:36, 44.7139633, 7.019815, 1972, 4, 1.9, 2.1, 21, 0, 44, 33, 38
06/20/2022, 07:57:46, 44.7139317, 7.0197483, 1976, 4, 1.9, 2.1, 22, 0, 54, 31, 37
06/20/2022, 08:01:34, 44.7142983, 7.0193917, 1786, 4, 1.9, 2.1, 22, 0, 42, 32, 36
06/20/2022, 08:03:50, 44.71434, 7.01933, 1768, 4, 1.9, 2.1, 22, 0, 58, 30, 36
06/20/2022, 08:05:35, 44.7139883, 7.0195483, 1988, 4, 1.9, 2.1, 23, 0, 43, 37, 38
06/20/2022, 08:07:14, 44.7137433, 7.0198, 2036, 4, 1.9, 2.1, 23, 0, 22, 37, 44
06/20/2022, 08:09:11, 44.71387, 7.01967, 2034, 4, 1.9, 2.1, 23, 0, 19, 36, 40
06/20/2022, 08:11:24, 44.71386, 7.0197217, 2030, 4, 1.9, 2.1, 24, 0, 32, 34, 38
06/20/2022, 08:12:52, 44.713855, 7.01964, 2032, 4, 1.9, 2.1, 24, 1.852, 0, 33, 37
06/20/2022, 08:14:55, 44.7139617, 7.0196483, 2032, 4, 1.9, 2.1, 24, 0, 4, 35, 43
06/20/2022, 08:17:01, 44.7138783, 7.0196883, 2034, 4, 1.9, 2.1, 24, 0, 10, 34, 43
06/20/2022, 08:18:53, 44.713885, 7.0198117, 2034, 4, 1.9, 2.1, 24, 1.852, 2, 35, 43
06/20/2022, 08:20:53, 44.7140267, 7.01964, 2034, 4, 1.9, 2.1, 24, 0, 2, 34, 40
06/20/2022, 08:23:01, 44.7139233, 7.0196933, 2022, 4, 1.9, 2.1, 24, 0, 10, 33, 45
06/20/2022, 08:24:54, 44.7137667, 7.0198217, 2054, 4, 1.9, 2.1, 24, 0, 3, 33, 45
06/20/2022, 08:26:54, 44.71372, 7.0196433, 2054, 4, 1.9, 2.1, 24, 1.852, 3, 35, 44
06/20/2022, 08:29:01, 44.7139467, 7.0196233, 2014, 4, 1.9, 2.1, 24, 0, 10, 34, 45
06/20/2022, 08:30:54, 44.7139533, 7.01973, 2032, 4, 1.9, 2.1, 24, 0, 3, 34, 41
06/20/2022, 08:32:55, 44.7137517, 7.0195633, 2032, 4, 1.9, 2.1, 24, 0, 4, 34, 46
06/20/2022, 08:35:01, 44.7138467, 7.0197117, 2042, 4, 1.9, 2.1, 24, 0, 10, 34, 46
06/20/2022, 08:36:55, 44.7137817, 7.019785, 2044, 4, 1.9, 2.1, 24, 0, 4, 33, 42
06/20/2022, 08:38:55, 44.7138067, 7.0197783, 2044, 4, 1.9, 2.1, 24, 0, 4, 34, 46
06/20/2022, 08:41:01, 44.7139383, 7.0196167, 2024, 4, 1.9, 2.1, 24, 0, 10, 35, 45
06/20/2022, 08:42:54, 44.714155, 7.0193517, 2034, 4, 1.9, 2.1, 25, 0, 3, 34, 46
06/20/2022, 08:44:53, 44.7138267, 7.0197167, 2034, 4, 1.9, 2.1, 25, 9.26, 2, 37, 40
06/20/2022, 08:46:54, 44.71359, 7.0199417, 2042, 4, 1.9, 2.1, 25, 0, 3, 30, 39
06/20/2022, 08:49:30, 44.713455, 7.02005, 2036, 4, 2.3, 2.5, 24, 5.556, 39, 24, 30
06/20/2022, 08:51:07, 44.7135017, 7.0202517, 1968, 5, 1.5, 1.8, 24, 0, 16, 33, 35
06/20/2022, 08:52:54, 44.7134833, 7.02029, 2004, 4, 2.4, 2.6, 23, 0, 3, 29, 33
06/20/2022, 08:55:10, 44.713515, 7.0202117, 2006, 4, 2.4, 2.6, 22, 0, 18, 32, 42
06/20/2022, 08:56:52, 44.7134767, 7.0205517, 2004, 4, 2.5, 2.7, 22, 0, 1, 28, 33
06/20/2022, 08:58:54, 44.7133633, 7.0201283, 2010, 4, 2.5, 2.7, 21, 0, 3, 33, 37
06/20/2022, 09:01:31, 44.7134067, 7.0201167, 2026, 4, 2.6, 2.8, 21, 0, 40, 32, 37
06/20/2022, 09:03:09, 44.7132883, 7.0199967, 2044, 4, 2.7, 2.8, 21, 1.852, 18, 25, 32
06/20/2022, 09:05:01, 44.71331, 7.0203117, 2016, 4, 2.7, 2.9, 21, 7.408, 10, 28, 37
06/20/2022, 09:19:24, 44.71347, 7.0202517, 2042, 4, 3.4, 3.5, 22, 0, 33, 30, 38
06/20/2022, 09:21:01, 44.7132417, 7.0205933, 2012, 4, 3.3, 3.5, 22, 0, 10, 27, 35
06/20/2022, 09:23:01, 44.71266, 7.0204467, 1964, 4, 3.3, 3.4, 21, 0, 10, 31, 39
06/20/2022, 09:25:01, 44.7133267, 7.0206867, 2022, 4, 3.2, 3.4, 21, 0, 10, 26, 34
06/20/2022, 09:27:01, 44.7132067, 7.0205433, 2020, 4, 3.2, 3.3, 21, 0, 10, 29, 40
06/20/2022, 09:29:02, 44.71321, 7.02016, 2010, 4, 3.1, 3.3, 21, 0, 11, 27, 33
06/20/2022, 09:33:15, 44.7136133, 7.0202433, 2048, 4, 3.0, 3.1, 22, 0, 24, 30, 38
06/20/2022, 09:35:24, 44.7135317, 7.0203, 1990, 4, 2.2, 2.4, 22, 0, 33, 28, 33
06/20/2022, 09:37:03, 44.7135, 7.02023, 2022, 4, 2.2, 2.4, 22, 1.852, 12, 28, 37
06/20/2022, 09:38:54, 44.7135433, 7.0203067, 2030, 4, 2.2, 2.4, 22, 5.556, 3, 31, 34
06/20/2022, 09:41:00, 44.7136117, 7.01996, 1976, 4, 2.1, 2.3, 22, 0, 8, 28, 36
06/20/2022, 09:42:55, 44.7135267, 7.0203933, 2056, 4, 2.1, 2.3, 22, 1.852, 4, 30, 34
06/20/2022, 09:44:58, 44.7135067, 7.0199933, 1994, 4, 2.1, 2.3, 22, 0, 6, 28, 34
06/20/2022, 09:46:55, 44.7134467, 7.02017, 2012, 4, 2.0, 2.3, 22, 1.852, 4, 31, 36
06/20/2022, 09:49:01, 44.71352, 7.0202267, 2028, 4, 2.0, 2.2, 22, 0, 10, 33, 37
06/20/2022, 09:51:01, 44.71342, 7.02071, 2158, 4, 2.0, 2.2, 22, 0, 10, 32, 37
06/20/2022, 09:53:05, 44.7134983, 7.01987, 1934, 4, 2.0, 2.2, 23, 0, 13, 30, 38
06/20/2022, 09:54:57, 44.71351, 7.0198133, 1932, 4, 2.0, 2.2, 23, 0, 5, 33, 38
06/20/2022, 09:57:08, 44.713505, 7.02032, 2050, 4, 1.9, 2.2, 23, 0, 16, 30, 37
06/20/2022, 09:59:23, 44.71331, 7.0197717, 1936, 4, 1.9, 2.2, 23, 0, 31, 26, 34
06/20/2022, 10:01:31, 44.7134667, 7.0203067, 2050, 5, 1.7, 1.9, 23, 0, 39, 25, 34
06/20/2022, 10:02:54, 44.7135483, 7.0204233, 2046, 5, 1.7, 1.9, 24, 0, 3, 29, 35
06/20/2022, 10:05:00, 44.713515, 7.02038, 2048, 5, 1.6, 1.9, 24, 0, 9, 28, 35
06/20/2022, 10:07:00, 44.7135017, 7.020455, 2046, 5, 1.7, 4.8, 24, 0, 9, 22, 26
06/20/2022, 10:08:55, 44.71341, 7.0201183, 2050, 4, 1.9, 2.2, 24, 0, 4, 30, 34
06/20/2022, 10:10:54, 44.7134833, 7.02033, 2050, 5, 1.6, 1.9, 24, 1.852, 3, 33, 38
06/20/2022, 10:12:53, 44.713425, 7.02024, 2046, 5, 1.6, 1.8, 23, 0, 2, 29, 34
06/20/2022, 10:14:54, 44.7133417, 7.020235, 2048, 5, 1.6, 1.8, 23, 0, 3, 29, 35
06/20/2022, 10:17:03, 44.7136983, 7.02048, 2200, 5, 1.5, 1.8, 23, 0, 12, 30, 38
06/20/2022, 10:18:54, 44.7133333, 7.0201567, 2048, 4, 2.0, 2.2, 23, 5.556, 3, 27, 31
06/20/2022, 10:21:04, 44.713415, 7.0202817, 2054, 5, 1.5, 1.8, 23, 0, 12, 30, 38
06/20/2022, 10:22:52, 44.7133233, 7.0196433, 1870, 4, 2.1, 2.3, 23, 7.408, 0, 30, 35
06/20/2022, 10:25:00, 44.7135683, 7.020445, 2100, 5, 1.5, 1.8, 23, 0, 8, 28, 36
06/20/2022, 10:26:59, 44.7135617, 7.0203533, 2100, 5, 1.5, 1.8, 23, 1.852, 7, 25, 36
06/20/2022, 10:29:03, 44.7133967, 7.0201117, 2096, 5, 1.5, 1.8, 23, 1.852, 11, 24, 31
06/20/2022, 10:31:00, 44.713495, 7.0202667, 2066, 5, 1.5, 1.8, 23, 0, 8, 26, 31
06/20/2022, 10:32:57, 44.7134567, 7.0202683, 2058, 5, 1.5, 1.8, 23, 0, 5, 30, 36
06/20/2022, 10:34:52, 44.7134633, 7.0202617, 2052, 4, 2.0, 2.2, 23, 0, 0, 31, 36
06/20/2022, 10:36:56, 44.7135017, 7.0202033, 2040, 5, 1.5, 1.8, 23, 0, 4, 34, 39
